RegionID,SizeRank,RegionName,RegionType,StateName,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31
394352,94,"Augusta, GA",Msa,GA,219500.0,219900.0,219400.0,221000.0,225000.0,229900.0,233400.0,235000.0,234900.0,229100.0,225000.0,224900.0,224900.0,220000.0,221900.0,221900.0,220000.0,229900.0,239000.0,239000.0,234900.0,237900.0,235900.0,235990.0,234900.0,230000.0,230000.0,230550.0,234900.0,239000.0,244900.0,249900.0,252500.0,250000.0,258900.0
394666,96,"Harrisburg, PA",Msa,PA,184900.0,187000.0,185000.0,190000.0,199900.0,214500.0,219800.0,224900.0,219900.0,219500.0,219900.0,219900.0,214900.0,205000.0,209000.0,209900.0,212000.0,219900.0,221900.0,225000.0,235000.0,239900.0,238900.0,234900.0,232000.0,234900.0,235000.0,237900.0,244200.0,249000.0,246950.0,251700.0,260700.0,261400.0,255000.0
395006,100,"Provo, UT",Msa,UT,369900.0,370000.0,369000.0,375000.0,393900.0,399950.0,389300.0,380000.0,379899.0,378000.0,379900.0,370000.0,369900.0,365000.0,365000.0,369000.0,376900.0,386900.0,384900.0,384045.0,385900.0,389900.0,390000.0,389000.0,384900.0,384900.0,389900.0,389900.0,401724.0,415900.0,405900.0,415900.0,430240.0,449400.0,460000.0
394549,104,"Durham, NC",Msa,NC,399900.0,399999.0,395000.0,395000.0,414900.0,423500.0,425000.0,425000.0,415000.0,409900.0,400000.0,399900.0,399900.0,396000.0,395000.0,399000.0,415000.0,429900.0,430000.0,434000.0,428358.0,420000.0,410000.0,400000.0,389990.0,391744.0,399500.0,410000.0,429900.0,444500.0,428000.0,435000.0,449710.0,450000.0,459900.0
394995,119,"Port St. Lucie, FL",Msa,FL,279900.0,280000.0,279900.0,280000.0,282500.0,279900.0,280000.0,285000.0,283800.0,285000.0,289900.0,289900.0,289900.0,289900.0,289900.0,289900.0,289900.0,289500.0,289000.0,289500.0,289900.0,290000.0,289900.0,290000.0,289900.0,289900.0,292900.0,289999.0,291150.0,294900.0,294000.0,291000.0,295000.0,299900.0,304690.0
395183,124,"Vallejo, CA",Msa,CA,466495.0,469000.0,499000.0,500000.0,484888.0,499000.0,495000.0,519900.0,499000.0,495000.0,470000.0,469950.0,459000.0,459000.0,455000.0,459950.0,469900.0,479000.0,489000.0,499000.0,519000.0,510280.0,515000.0,499999.0,494296.0,486000.0,484999.0,470000.0,485000.0,495000.0,509000.0,499900.0,510000.0,519000.0,510000.0
394746,128,"Killeen, TX",Msa,TX,178000.0,179000.0,181800.0,188100.0,189900.0,191140.0,200239.0,207000.0,213500.0,217500.0,212250.0,209900.0,199900.0,209500.0,214900.0,216640.0,220000.0,229900.0,229900.0,234500.0,229900.0,225000.0,227300.0,227460.0,228712.0,225150.0,224900.0,229000.0,230000.0,229850.0,232590.0,241500.0,251040.0,260000.0,264000.0
395048,132,"Salem, OR",Msa,OR,325000.0,333500.0,339900.0,344900.0,350000.0,350000.0,354900.0,359000.0,364900.0,365000.0,359000.0,354900.0,350000.0,349900.0,349900.0,350000.0,349900.0,349900.0,349900.0,349900.0,355000.0,363900.0,360000.0,361400.0,367900.0,366500.0,369800.0,377995.0,375000.0,379900.0,379500.0,384900.0,385000.0,379995.0,375000.0
394927,149,"Ocala, FL",Msa,FL,199900.0,199900.0,205900.0,204900.0,210000.0,215900.0,219000.0,219900.0,219900.0,218700.0,213900.0,210000.0,209900.0,210000.0,210000.0,209900.0,204900.0,205000.0,205000.0,209900.0,209500.0,209900.0,215000.0,214990.0,212500.0,213020.0,210350.0,209900.0,209900.0,209990.0,209900.0,214500.0,219900.0,224900.0,229950.0
394602,159,"Fort Collins, CO",Msa,CO,429900.0,434900.0,439900.0,449000.0,442237.0,449500.0,452800.0,453990.0,460000.0,449900.0,445000.0,439990.0,439990.0,435000.0,435000.0,435000.0,439000.0,445000.0,442225.0,449900.0,449900.0,439950.0,435000.0,435000.0,435000.0,437890.0,437039.0,449900.0,459300.0,468000.0,462000.0,465000.0,475000.0,475095.0,469990.0
394405,162,"Boulder, CO",Msa,CO,640000.0,660000.0,685000.0,674900.0,695000.0,710000.0,699000.0,699999.0,679900.0,669000.0,649900.0,649000.0,630000.0,639000.0,660000.0,639900.0,640000.0,649900.0,650000.0,669000.0,687500.0,675000.0,650000.0,672000.0,675000.0,679900.0,682157.0,675000.0,749000.0,779000.0,750000.0,775000.0,781949.0,784000.0,774000.0
394471,172,"Clarksville, TN",Msa,TN,199950.0,203490.0,207900.0,214500.0,218950.0,218950.0,219900.0,223000.0,219900.0,218950.0,220000.0,223900.0,222560.0,227900.0,229900.0,230900.0,239000.0,242900.0,248900.0,249900.0,245000.0,239900.0,240000.0,239900.0,239500.0,235000.0,234900.0,230000.0,232500.0,238900.0,242900.0,245900.0,249900.0,249900.0,245000.0
394645,177,"Greeley, CO",Msa,CO,385000.0,380000.0,380800.0,375750.0,372000.0,376622.0,379512.0,380000.0,382219.0,379900.0,380000.0,380138.0,384000.0,385395.0,390000.0,381320.0,376190.0,384000.0,380600.0,400000.0,412750.0,399000.0,392445.0,393900.0,398500.0,405000.0,410900.0,420000.0,435000.0,450250.0,437500.0,430485.0,434984.0,446755.0,440000.0
394813,189,"Macon-Bibb County, GA",Msa,GA,151900.0,154000.0,150000.0,148500.0,147500.0,154900.0,162500.0,174500.0,180000.0,175000.0,175500.0,179500.0,179900.0,177000.0,174500.0,169900.0,169900.0,174900.0,179500.0,179900.0,180900.0,175900.0,169999.0,164000.0,159900.0,159990.0,160990.0,159900.0,157900.0,151990.0,157990.0,159900.0,172000.0,175000.0,174900.0
